,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"(7, 1, 59, 3, 0, 1)","(9, 2, 77, 3, 1, 0)","(4, 4, 72, 3, 0, 0)","(9, 7, 73, 3, 0, 0)","(9, 8, 73, 3, 0, 0)","(9, 8, 17, 3, 1, 1)","(9, 9, 71, 3, 0, 0)","(9, 9, 75, 3, 0, 1)","(9, 10, 82, 3, 0, 0)",,,,,,
1,1,3,1,2,0,0,1,0,4,,,,,,
2,18.96584364457387,14.362545844702705,-5.118294078121195,4.840984304910297,7.157958992982193,7.137649489140338,8.176212928867221,22.739240357417867,29.57051491555637,,,,,,
0,"(6, 1, 42, 3, 1, 0)","(6, 1, 17, 3, 0, 1)","(9, 2, 77, 3, 1, 0)","(4, 4, 40, 3, 0, 0)","(4, 5, 40, 3, 1, 0)","(9, 6, 49, 3, 0, 0)","(9, 7, 17, 3, 1, 0)","(8, 8, 48, 3, 0, 0)","(7, 9, 27, 3, 0, 1)","(9, 10, 48, 3, 0, 2)",,,,,
1,3,2,3,3,0,0,0,1,2,1,,,,,
2,11.839835353201568,-3.8148364149909355,3.356686930346277,-0.0,8.920317739384364,16.609851146754714,20.387270685437546,11.599926727823108,19.11423738188889,9.21511125681258,,,,,
0,"(6, 0, 13, 3, 0, 1)","(9, 1, 71, 3, 0, 0)","(9, 2, 48, 3, 0, 0)","(9, 3, 18, 3, 0, 0)","(4, 4, 44, 3, 0, 0)","(8, 7, 74, 3, 0, 1)","(7, 8, 36, 3, 0, 1)","(4, 9, 36, 3, 0, 1)",,,,,,,
1,2,4,2,2,1,4,3,2,,,,,,,
2,-1.7983495931528726,29.38514765693454,-6.764634623106718,29.968662214336355,14.566672881439963,38.71207942008004,9.89239295611699,14.27014935125187,,,,,,,
0,"(7, 1, 61, 3, 0, 0)","(6, 1, 42, 3, 1, 1)","(9, 2, 88, 3, 0, 0)","(9, 3, 88, 3, 0, 0)","(9, 5, 88, 3, 1, 0)","(9, 5, 85, 3, 0, 0)","(9, 6, 86, 3, 0, 0)","(9, 7, 85, 3, 0, 0)","(9, 8, 85, 3, 0, 1)","(9, 8, 45, 3, 1, 0)",,,,,
1,1,1,4,1,4,2,1,1,1,3,,,,,
2,26.055706200910574,14.23903928659278,5.0,-2.5435117006452157,12.648982918538533,6.311916609635159,9.333205243862825,7.710167821783373,13.06294549245601,12.678829924009001,,,,,
0,"(7, 0, 71, 3, 0, 1)","(4, 1, 68, 2, 0, 1)","(9, 4, 43, 3, 0, 0)","(9, 5, 45, 3, 0, 0)","(9, 6, 75, 3, 0, 1)","(9, 7, 18, 3, 0, 0)","(4, 8, 23, 2, 0, 0)",,,,,,,,
1,3,2,2,1,0,3,0,,,,,,,,
2,12.706901426906681,3.8745184870046243,-3.1645029432367875,18.968967085451773,24.73675325178121,36.605002553582906,6.752407283797914,,,,,,,,
0,"(7, 0, 72, 3, 0, 0)","(7, 1, 80, 3, 0, 0)","(9, 3, 72, 2, 1, 0)","(8, 4, 37, 3, 0, 0)","(9, 6, 61, 3, 0, 0)","(9, 6, 46, 3, 0, 0)","(4, 9, 36, 3, 1, 1)",,,,,,,,
1,4,0,2,0,4,3,0,,,,,,,,
2,-0.0,-0.8514306479710587,33.177084236837594,6.401935196315037,26.02474596857184,20.627670760550846,4.896002580738835,,,,,,,,
0,"(6, 1, 51, 2, 0, 0)","(6, 1, 41, 3, 0, 0)","(9, 2, 40, 3, 0, 0)","(9, 3, 77, 3, 1, 0)","(4, 5, 85, 3, 0, 0)","(4, 6, 85, 3, 0, 0)","(3, 6, 41, 3, 1, 1)","(9, 8, 77, 3, 0, 0)","(8, 9, 11, 2, 0, 0)",,,,,,
1,3,2,4,3,3,2,2,0,1,,,,,,
2,14.943150025985336,3.40752093874492,12.9706437810379,23.302080720936374,-0.0,20.876573777777896,0.9115460634584274,41.049129829395525,42.331942245049206,,,,,,
