,0
93,"{'vehicle_id': 181, 'time_send': 201.033513527913, 'time_enter': 211.53820288228619, 'time_start': 211.53820288228619, 'SOC_end': 100.0, 'SOC_send': 95.12136162598098, 'lat': 52.48955633619696, 'long': 13.331411028595912, 'v_hex': '871f1d499ffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 49, 'CS_position': 18, 'distance': 4.2523446771866}"
94,"{'vehicle_id': 186, 'time_send': 100.41418784027181, 'time_enter': 116.87167539497075, 'time_start': 134.44412130350253, 'SOC_end': 100.0, 'SOC_send': 64.91716243194564, 'lat': 52.51645493308553, 'long': 13.507277313562359, 'v_hex': '871f1d4d1ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 72, 'CS_position': 73, 'distance': 7.228743777349471}"
95,"{'vehicle_id': 74, 'time_send': 189.09194106022642, 'time_enter': 192.70889268816038, 'time_start': 192.70889268816038, 'SOC_end': 100.0, 'SOC_send': 94.76498373966658, 'lat': 52.495278050671764, 'long': 13.439644570843203, 'v_hex': '871f1d4d2ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 73, 'CS_position': 73, 'distance': 0.8084758139669782}"
96,"{'vehicle_id': 288, 'time_send': 92.67486262875568, 'time_enter': 103.64028599465117, 'time_start': 103.64028599465117, 'SOC_end': 100.0, 'SOC_send': 68.06502747424886, 'lat': 52.49588554896749, 'long': 13.324649460159394, 'v_hex': '871f1d49dffffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 53, 'CS_position': 45, 'distance': 4.482711682947742}"
97,"{'vehicle_id': 72, 'time_send': 51.906415839304685, 'time_enter': 56.31599729700707, 'time_start': 56.31599729700707, 'SOC_end': 100.0, 'SOC_send': 70.41871683213905, 'lat': 52.52104229640069, 'long': 13.400088850640131, 'v_hex': '871f1d489ffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 40, 'CS_position': 40, 'distance': 1.204790728851194}"
98,"{'vehicle_id': 254, 'time_send': 50.62733078374456, 'time_enter': 63.66166185007364, 'time_start': 63.66166185007364, 'SOC_end': 100.0, 'SOC_send': 68.07453384325109, 'lat': 52.58089215080024, 'long': 13.300431406996502, 'v_hex': '871f1d4a1ffffff', 'CS_location': [52.55574928705948, 13.335643865826528], 'v_position': 55, 'CS_position': 59, 'distance': 5.5171655331645395}"
99,"{'vehicle_id': 121, 'time_send': 163.0862218604002, 'time_enter': 166.68924948615842, 'time_start': 166.68924948615842, 'SOC_end': 100.0, 'SOC_send': 64.3706429755855, 'lat': 52.52134419747808, 'long': 13.405922236002757, 'v_hex': '871f1d489ffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 40, 'CS_position': 40, 'distance': 0.8015138128791117}"
100,"{'vehicle_id': 100, 'time_send': 79.46770147403862, 'time_enter': 86.49404634839472, 'time_start': 88.47290752347138, 'SOC_end': 100.0, 'SOC_send': 64.59517284303823, 'lat': 52.48171342812029, 'long': 13.43179116118396, 'v_hex': '871f18b21ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 13, 'CS_position': 73, 'distance': 2.513172437178051}"
101,"{'vehicle_id': 150, 'time_send': 70.23508357904795, 'time_enter': 82.83377960647903, 'time_start': 82.83377960647903, 'SOC_end': 100.0, 'SOC_send': 66.55298328419042, 'lat': 52.55399474511805, 'long': 13.43283317489265, 'v_hex': '871f1d4f0ffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 83, 'CS_position': 40, 'distance': 5.299348013715539}"
102,"{'vehicle_id': 234, 'time_send': 96.10854918106001, 'time_enter': 103.43301601027657, 'time_start': 104.1738331592565, 'SOC_end': 100.0, 'SOC_send': 63.17829016378799, 'lat': 52.529584253099415, 'long': 13.434445835193946, 'v_hex': '871f1d4d4ffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 75, 'CS_position': 40, 'distance': 2.6622334146082816}"
103,"{'vehicle_id': 22, 'time_send': 188.35430302188348, 'time_enter': 195.09839016064848, 'time_start': None, 'SOC_end': 96.14832814651503, 'SOC_send': 97.09714557426803, 'lat': 52.494238161689275, 'long': 13.401070717761481, 'v_hex': '871f18b25ffffff', 'CS_location': [52.50749500767846, 13.392681631628767], 'v_position': 17, 'CS_position': 42, 'distance': 2.372043569382498}"
104,"{'vehicle_id': 24, 'time_send': 235.71393553055344, 'time_enter': 241.37264957989527, 'time_start': None, 'SOC_end': 94.30024367679316, 'SOC_send': 95.03198648666152, 'lat': 52.529578972877516, 'long': 13.392226488213113, 'v_hex': '871f1d489ffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 40, 'CS_position': 40, 'distance': 1.829357024670919}"
105,"{'vehicle_id': 182, 'time_send': 136.25901680427617, 'time_enter': 149.07646439295368, 'time_start': 149.07646439295368, 'SOC_end': 100.0, 'SOC_send': 53.038212453011646, 'lat': 52.45755670106164, 'long': 13.311654957029573, 'v_hex': '871f18b34ffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 26, 'CS_position': 18, 'distance': 5.408723794338751}"
106,"{'vehicle_id': 262, 'time_send': 133.14205334861677, 'time_enter': 143.2924008347095, 'time_start': 143.2924008347095, 'SOC_end': 100.0, 'SOC_send': 54.140839505850145, 'lat': 52.494994054818136, 'long': 13.367081287967771, 'v_hex': '871f18b24ffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 16, 'CS_position': 18, 'distance': 4.075173743046371}"
107,"{'vehicle_id': 296, 'time_send': 137.0373304394078, 'time_enter': 144.30940015330978, 'time_start': 144.30940015330978, 'SOC_end': 100.0, 'SOC_send': 61.99253391211844, 'lat': 52.45646531757142, 'long': 13.370174562208748, 'v_hex': '871f18b22ffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 14, 'CS_position': 18, 'distance': 2.636034856950987}"
108,"{'vehicle_id': 9, 'time_send': 44.23662200262141, 'time_enter': 53.40125329679551, 'time_start': 53.40125329679551, 'SOC_end': 100.0, 'SOC_send': 70.35267559947572, 'lat': 52.538984098288445, 'long': 13.313664614456252, 'v_hex': '871f1d481ffffff', 'CS_location': [52.55574928705948, 13.335643865826528], 'v_position': 34, 'CS_position': 59, 'distance': 3.582315647087049}"
109,"{'vehicle_id': 66, 'time_send': 45.31246723758695, 'time_enter': 50.10209982486103, 'time_start': 50.10209982486103, 'SOC_end': 100.0, 'SOC_send': 64.9375065524826, 'lat': 52.549631794369944, 'long': 13.344982842546012, 'v_hex': '871f1d4aaffffff', 'CS_location': [52.55574928705948, 13.335643865826528], 'v_position': 59, 'CS_position': 59, 'distance': 1.394816293637037}"
110,"{'vehicle_id': 258, 'time_send': 46.219198201204605, 'time_enter': 55.35531167731497, 'time_start': 55.35531167731497, 'SOC_end': 100.0, 'SOC_send': 72.55616035975908, 'lat': 52.54436236368884, 'long': 13.240406755923873, 'v_hex': '871f1d4b1ffffff', 'CS_location': [52.53090638564868, 13.213166795881953], 'v_position': 63, 'CS_position': 65, 'distance': 3.5680567380551826}"
