,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,"(7, 1, 60, 3, 0, 0)","(6, 1, 72, 3, 0, 0)","(5, 2, 61, 3, 0, 0)","(5, 3, 61, 3, 0, 0)","(5, 3, 87, 2, 0, 0)","(9, 7, 71, 3, 0, 0)","(4, 9, 79, 1, 0, 1)","(3, 10, 77, 3, 1, 1)","(3, 10, 21, 3, 0, 0)",,,,,,,
1,1,1,3,1,0,3,4,4,1,,,,,,,
2,22.60107071870144,33.471977279941264,-0.0,16.757060378068335,16.122146400689665,19.090451382581765,22.11956293529546,7.372575084421619,10.305303583138866,,,,,,,
0,"(7, 0, 71, 3, 0, 1)","(4, 1, 22, 3, 1, 1)","(9, 5, 39, 3, 0, 0)","(9, 5, 51, 2, 0, 0)","(4, 8, 16, 3, 0, 0)",,,,,,,,,,,
1,3,1,4,3,2,,,,,,,,,,,
2,6.950150714555125,3.4580149783800778,21.305627049352594,25.08883749266642,21.028767683542227,,,,,,,,,,,
0,"(7, 1, 9, 2, 0, 0)","(7, 2, 9, 2, 1, 0)","(4, 4, 12, 3, 0, 0)","(9, 7, 14, 3, 0, 0)","(9, 7, 41, 3, 1, 1)","(9, 8, 53, 3, 0, 1)","(9, 8, 45, 3, 1, 1)","(9, 8, 53, 3, 1, 1)","(8, 10, 52, 3, 0, 1)","(9, 11, 36, 3, 1, 0)",,,,,,
1,1,2,0,0,0,0,0,2,0,1,,,,,,
2,-0.0,-4.490134708533894,-6.5280222772292635,13.498690832929508,7.985825980089556,2.9656778995517548,1.6824029843267514,20.866767135690758,18.343797160787602,9.775788072777669,,,,,,
0,"(7, 1, 32, 3, 0, 0)","(7, 2, 32, 1, 0, 0)","(6, 2, 43, 3, 0, 0)","(9, 4, 45, 3, 1, 0)","(9, 5, 45, 3, 0, 0)","(9, 6, 45, 3, 0, 0)","(9, 7, 45, 3, 0, 0)","(9, 8, 45, 3, 0, 0)","(9, 8, 85, 3, 0, 1)","(9, 9, 88, 3, 0, 1)","(9, 10, 77, 3, 1, 0)",,,,,
1,4,3,0,1,1,4,3,1,1,2,4,,,,,
