,id,origin,destination,origin_zone,mode,destination_zone,arrival_time,pickup_time,waiting_time
144,"(4, 17)","[52.498566376564135, 13.406717922925095]","[52.50430559122548, 13.425183979932212]",17,finished,77,[50.89193134],58.24708586176997,[7.35515452]
145,"(3, 77)","[52.513430701253114, 13.437692857841967]","[52.50708803016292, 13.31142285521592]",77,finished,53,[30.84867826],36.876244221068376,[6.02756596]
146,"(2, 15)","[52.4590249884854, 13.427710856866426]","[52.46312505888719, 13.361790575702086]",15,finished,14,[41.01537647],49.700901569872386,[8.6855251]
147,"(5, 41)","[52.51239371759707, 13.353902023517533]","[52.47228086492903, 13.346221140325149]",41,finished,18,[40.15673238],49.77475678067887,[9.6180244]
148,"(3, 71)","[52.5028461639882, 13.475146909885748]","[52.448315321763175, 13.276310743112326]",71,finished,3,[11.75806051],19.147613351263598,[7.38955285]
149,"(12, 71)","[52.50453949813951, 13.469330674549832]","[52.47427909733557, 13.419618114193083]",71,finished,13,[43.03622709],49.41355881935803,[6.37733173]
150,"(1, 74)","[52.48989560673963, 13.477552802254564]","[52.50863765525372, 13.458133401473004]",74,finished,71,[46.28324535],56.33302313654298,[10.04977778]
151,"(2, 81)","[52.51899636998241, 13.559056173431946]","[52.56545614737084, 13.367522161986457]",81,finished,60,[9.79896206],21.856588209965658,[12.05762615]
152,"(6, 41)","[52.50597426687669, 13.342089581282874]","[52.50135823983108, 13.353406585190482]",41,finished,41,[52.99873873],61.213078605989736,[8.21433987]
153,"(3, 45)","[52.5160611943911, 13.343767016240742]","[52.5132163279096, 13.303729068355558]",45,finished,36,[51.8505074],56.10669513137363,[4.25618773]
154,"(3, 18)","[52.48063770227137, 13.356083273105272]","[52.46556780901277, 13.326147509302773]",18,finished,51,[45.97124156],56.61384423211676,[10.64260267]
155,"(4, 75)","[52.53455102032177, 13.438551652075478]","[52.4684590364046, 13.498867310585958]",75,finished,22,[35.66492939],39.45336123493174,[3.78843184]
156,"(3, 17)","[52.491692757297415, 13.424798923919639]","[52.5150030714451, 13.445694531564921]",17,finished,71,[39.28371057],56.59348130773947,[17.30977074]
157,"(3, 61)","[52.57289009057282, 13.328270942025451]","[52.52810397883318, 13.313414107227269]",61,finished,34,[44.81735605],50.399412372480874,[5.58205632]
158,"(5, 75)","[52.52465796432441, 13.432426314956704]","[52.49969161437337, 13.496933474151184]",75,finished,74,[41.43472269],50.41890513161731,[8.98418245]
159,"(3, 59)","[52.54601432998472, 13.327457671204852]","[52.55579690827143, 13.379432386849743]",59,finished,60,[48.76584431],55.99605286558164,[7.23020856]
160,"(4, 61)","[52.57481860192167, 13.330791095498101]","[52.55369935468663, 13.351190022675162]",61,finished,59,[55.02144292],59.82291475457965,[4.80147183]
161,"(11, 71)","[52.50717308127682, 13.451582105696048]","[52.545100721472146, 13.442102315686574]",71,finished,85,[41.30565769],55.40054614784705,[14.09488845]
162,"(5, 85)","[52.54813093290193, 13.415057979586088]","[52.52287112649095, 13.375307489732561]",85,finished,39,[52.07791385],57.31511180015446,[5.23719795]
163,"(10, 71)","[52.50727523142884, 13.462720773891116]","[52.465009172957316, 13.437528720568633]",71,finished,13,[41.21012508],54.062426369635865,[12.85230129]
164,"(1, 65)","[52.53866397759271, 13.209851120620218]","[52.501795336657224, 13.434899015685806]",65,finished,77,[7.13015935],21.790216699656952,[14.66005735]
165,"(1, 72)","[52.506202487960834, 13.514414201662074]","[52.530508694625006, 13.265958287740215]",72,finished,33,[12.00535532],18.366393917754277,[6.3610386]
166,"(3, 4)","[52.42206924801619, 13.268227772157623]","[52.52200315779497, 13.358604971309001]",4,finished,39,[29.12731178],32.33093669105971,[3.20362491]
167,"(1, 24)","[52.42768877370283, 13.318547591213417]","[52.47775311022769, 13.456946916728379]",24,finished,21,[32.85174823],37.69554213243078,[4.8437939]
168,"(7, 85)","[52.54641296542333, 13.409905709305614]","[52.56050187012836, 13.391485353583562]",85,finished,88,[58.81263461],64.9173851991487,[6.10475059]
169,"(3, 23)","[52.452817573160694, 13.465154494988653]","[52.4671710760313, 13.454926249758058]",23,finished,21,[54.04962477],65.87203424838846,[11.82240947]
170,"(2, 11)","[52.43076430492037, 13.514488290551366]","[52.46691747663976, 13.40058427581343]",11,finished,12,[39.24158114],45.38179907171293,[6.14021794]
171,"(1, 38)","[52.533612572236045, 13.234537141198807]","[52.52647631221301, 13.274794211590546]",38,finished,35,[54.78499621],63.467620829157084,[8.68262462]
