,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,3,1,2,4,0,0,0,1,3,,,,,,,,
2,19.828476731929477,33.91497608768866,-3.15002811507436,7.549823028536374,4.197035615060008,9.527986396933727,14.96767751604735,12.114769177213176,20.70014556812864,,,,,,,,
0,"(7, 1, 57, 1, 0, 0)","(4, 2, 47, 1, 0, 0)","(9, 3, 48, 3, 0, 0)","(4, 6, 36, 3, 0, 0)","(9, 7, 44, 3, 1, 1)","(9, 8, 77, 3, 1, 0)","(9, 8, 39, 3, 1, 1)",,,,,,,,,,
1,2,2,3,2,0,0,4,,,,,,,,,,
2,11.479265537579394,-12.899613831847931,13.374955478233902,-6.740401547182377,2.064585707973228,4.711660198515666,48.852318669005605,,,,,,,,,,
0,"(7, 0, 44, 2, 0, 0)","(9, 1, 17, 3, 1, 0)","(9, 2, 74, 3, 1, 0)","(8, 2, 12, 3, 0, 0)","(4, 4, 15, 3, 0, 0)","(9, 8, 49, 3, 0, 1)","(9, 8, 16, 3, 0, 2)","(8, 10, 34, 3, 0, 1)",,,,,,,,,
1,2,2,2,3,1,2,2,2,,,,,,,,,
2,3.056811845405388,8.166743030039147,4.852996096159462,7.2347052308015725,5.91778798877619,14.305068169559362,29.529637634715993,17.669651547937978,,,,,,,,,
0,"(6, 0, 75, 3, 0, 0)","(9, 2, 42, 3, 1, 0)","(9, 3, 42, 3, 1, 0)","(9, 3, 77, 3, 0, 0)","(9, 4, 42, 3, 0, 0)",,,,,,,,,,,,
1,2,4,4,1,2,,,,,,,,,,,,
2,-9.115621994412283,-0.0,5.981458430113134,-2.3360317610424404,19.795726624917755,,,,,,,,,,,,
0,"(7, 1, 80, 2, 0, 0)","(5, 2, 65, 3, 0, 0)","(9, 4, 62, 2, 0, 0)","(9, 5, 36, 3, 0, 1)","(4, 8, 37, 2, 0, 1)","(4, 8, 36, 3, 0, 0)",,,,,,,,,,,
1,4,0,0,3,3,1,,,,,,,,,,,
2,57.11754171755277,-1.14921223428194,21.8470445373147,21.7037924848137,6.455563154746849,18.1910354646591,,,,,,,,,,,
0,"(6, 0, 75, 2, 0, 0)","(9, 1, 85, 3, 0, 0)","(9, 2, 51, 3, 0, 0)","(8, 3, 4, 3, 0, 0)","(8, 3, 48, 3, 0, 0)","(4, 5, 45, 3, 0, 0)","(9, 6, 60, 3, 0, 1)","(4, 7, 60, 3, 0, 0)","(9, 9, 42, 3, 1, 2)","(9, 9, 44, 3, 1, 1)","(9, 10, 45, 3, 0, 2)","(8, 10, 40, 3, 1, 1)",,,,,
1,1,0,4,4,3,1,3,1,1,4,4,1,,,,,
2,1.65871812170899,33.38386795157691,17.135819795890825,17.698568800408736,15.351591649694567,3.549834976787908,14.901934506766839,8.692489327319205,11.813917585255119,7.938672170626468,13.216820262727222,7.652173548117584,,,,,
0,"(6, 0, 71, 3, 0, 1)","(9, 1, 21, 3, 0, 0)","(9, 2, 82, 3, 0, 0)","(9, 3, 71, 3, 0, 0)","(8, 4, 42, 3, 1, 0)","(8, 5, 74, 3, 0, 0)","(9, 6, 76, 3, 0, 0)","(9, 7, 44, 3, 0, 0)","(8, 8, 39, 3, 0, 1)","(4, 8, 34, 3, 0, 1)","(9, 10, 57, 3, 0, 1)",,,,,,
1,1,1,0,4,0,1,1,4,3,1,3,,,,,,
2,-0.8832174042504803,6.590883941939682,16.193373807233407,16.405679238558562,19.874150425669487,7.22261014265516,13.084547918146093,14.568959084425948,12.478451979557194,0.47729644890336154,39.60545373526459,,,,,,
0,"(6, 1, 88, 3, 0, 0)","(9, 3, 75, 2, 0, 0)","(4, 6, 42, 3, 1, 0)","(3, 7, 20, 1, 0, 0)","(7, 9, 14, 3, 0, 1)","(9, 10, 42, 3, 1, 1)",,,,,,,,,,,
1,1,3,0,1,2,1,,,,,,,,,,,
2,9.970867451257105,21.456166560006103,20.903119873580764,-2.0021443781054575,5.767714671031524,17.136212670005797,,,,,,,,,,,
0,"(5, 1, 73, 3, 0, 1)","(9, 2, 73, 3, 0, 0)","(9, 2, 73, 3, 0, 1)","(9, 3, 77, 3, 0, 1)","(9, 4, 42, 3, 0, 0)",,,,,,,,,,,,
1,1,4,1,1,2,,,,,,,,,,,,
2,-0.28234476219101,7.460087594602504,8.1764450656018,-3.1574810072157136,40.464041890863015,,,,,,,,,,,,
0,"(6, 0, 77, 3, 0, 0)","(9, 1, 77, 3, 0, 1)","(4, 4, 42, 3, 0, 0)","(9, 7, 23, 3, 1, 1)","(9, 8, 13, 3, 0, 1)","(9, 9, 71, 3, 0, 2)","(4, 10, 75, 3, 1, 2)","(4, 10, 83, 3, 0, 0)","(3, 11, 43, 3, 0, 1)",,,,,,,,
1,0,3,0,0,1,3,3,2,4,,,,,,,,
2,2.9510484075782095,4.486653384098477,12.231868963231987,4.071429047392612,10.224928229738358,17.94664501147611,16.32820626836591,9.005670419103339,11.554054724042096,,,,,,,,
0,"(7, 1, 32, 2, 0, 0)","(7, 2, 32, 2, 0, 0)","(9, 3, 77, 3, 0, 1)","(9, 5, 42, 3, 1, 0)","(4, 6, 73, 3, 1, 0)","(9, 7, 40, 3, 0, 1)","(9, 8, 22, 3, 1, 0)","(9, 9, 12, 3, 1, 2)","(8, 9, 75, 3, 0, 2)","(8, 10, 39, 3, 0, 2)","(9, 10, 59, 3, 0, 0)",,,,,,
1,1,0,1,2,2,4,1,4,2,1,1,,,,,,
2,-0.0,-1.030082882786175,-2.3040102778096063,16.532502507835602,-3.6300687451944076,19.836422497558196,14.429919022705185,17.144743119465268,6.301641014354478,1.1999139542156758,17.211684563801303,,,,,,
0,"(7, 1, 6, 1, 0, 0)","(6, 2, 6, 1, 0, 0)","(6, 3, 16, 3, 1, 1)","(9, 5, 71, 3, 0, 0)","(9, 6, 77, 3, 1, 1)","(9, 8, 73, 3, 0, 0)","(9, 9, 40, 3, 1, 2)","(8, 9, 49, 3, 0, 1)","(8, 10, 36, 3, 1, 2)",,,,,,,,
1,1,1,0,1,0,3,0,1,4,,,,,,,,
2,-0.0,24.998176187904164,6.991205552035,11.243701758580453,-5.596910582657995,8.485061560155888,18.931862672065627,15.908465402052025,10.87837870742294,,,,,,,,
0,"(7, 0, 49, 3, 0, 0)","(9, 1, 51, 3, 0, 0)","(9, 2, 27, 3, 0, 0)","(9, 2, 49, 3, 0, 0)","(4, 3, 77, 3, 0, 0)","(9, 5, 16, 3, 1, 0)","(9, 6, 14, 3, 0, 1)","(8, 7, 75, 3, 0, 1)","(4, 8, 17, 3, 1, 1)","(8, 10, 42, 3, 1, 0)","(7, 11, 71, 3, 0, 2)",,,,,,
1,0,0,1,3,1,1,1,3,0,1,4,,,,,,
2,-0.736078480860261,5.149890389392864,6.929194393264335,25.226280701905857,16.310477686217467,-5.05913418463498,36.154091737906036,16.92979514880565,-5.936274136705908,4.205638356944826,15.363077575671296,,,,,,
0,"(6, 1, 38, 1, 0, 0)","(9, 3, 42, 3, 1, 0)","(9, 4, 39, 3, 0, 0)","(9, 5, 42, 3, 1, 0)","(9, 6, 42, 3, 1, 0)","(4, 6, 77, 3, 0, 1)","(4, 7, 44, 3, 1, 0)","(3, 7, 42, 3, 1, 2)","(3, 8, 49, 3, 0, 0)","(9, 9, 26, 3, 0, 1)",,,,,,,
1,0,4,0,3,2,3,0,0,1,4,,,,,,,
2,24.68259070879948,8.155817827748583,-4.084746221406724,-0.0,15.408626474871745,16.82945560505171,11.951735085270318,6.376092606150395,-5.6893413634860455,24.422707046440685,,,,,,,
0,"(5, 1, 34, 3, 0, 1)","(9, 2, 53, 3, 0, 0)","(9, 3, 52, 3, 0, 0)","(9, 4, 51, 3, 0, 1)","(9, 4, 52, 3, 0, 0)","(4, 6, 39, 3, 1, 0)","(9, 8, 75, 3, 0, 0)",,,,,,,,,,
1,0,1,4,4,3,1,3,,,,,,,,,,
2,13.386242689398324,1.592584556108962,16.605866045722607,13.225974044933988,22.93215152888788,-9.881045306562848,29.86379757881835,,,,,,,,,,
